iter	RMSE
257	0.8519086418
258	0.8492618506
259	0.8473845494
260	0.8446384246
261	0.8428482585
262	0.8415456739
263	0.8414288493
264	0.8398746369
265	0.8385193732
266	0.8384068674
267	0.8365983109
268	0.8345333106
269	0.8325366249
270	0.8306876307
271	0.8305928522
272	0.8286825548
273	0.8268561401
274	0.8255753706
275	0.8253194391
276	0.8228826103
277	0.8209059971
278	0.8198077745
279	0.8172739354
280	0.816941218
281	0.816856036
282	0.8148166968
283	0.8143307195
284	0.8120414874
285	0.8099354774
286	0.809519119
287	0.8086728622
288	0.8082481509
289	0.806528789
290	0.8043293844
291	0.8025040832
292	0.8014228519
293	0.8003166696
294	0.8000823693
295	0.7995630526
296	0.797713305
297	0.7959365103
298	0.795266172
299	0.7951921841
300	0.7950967241
301	0.7946455551
302	0.793080906
303	0.7919303315
304	0.7915426186
305	0.7899316935
306	0.7898002123
307	0.7877230979
308	0.7844581489
309	0.781393509
310	0.7798450757
311	0.7774647059
312	0.7759464148
313	0.7748330732
314	0.7731092644
315	0.7726653617
316	0.7725405285
317	0.7721997434
318	0.7691862369
319	0.7666294776
320	0.7660391414
321	0.7658950934
322	0.7657654423
323	0.7645975417
324	0.7621767448
325	0.7617717881
326	0.7616379544
327	0.7586482959
328	0.7578044049
329	0.7551133661
330	0.7537823534
331	0.7520151837
332	0.7503184446
333	0.7494645536
334	0.7493261124
335	0.7481338956
336	0.7480552507
337	0.7467904809
338	0.7467289985
339	0.7465314144
340	0.7464772156
341	0.7462632616
342	0.7460574041
343	0.7441072774
344	0.7430592924
345	0.7412462326
346	0.7400851363
347	0.7380638274
348	0.7378611997
349	0.7363336626
350	0.7354897639
351	0.7345972789
352	0.7320759585
353	0.7300642934
354	0.7274740229
355	0.7271579733
356	0.7260334555
357	0.7252759024
358	0.7237528909
359	0.7233835795
360	0.7231520593
361	0.7229513263
362	0.7220728395
363	0.7211502119
364	0.7211178448
365	0.719249876
366	0.7178644102
367	0.716897064
368	0.7156456601
369	0.7146460056
370	0.7145821182
371	0.7137723047
372	0.712933628
373	0.7118761694
374	0.7101803738
375	0.7092643603
376	0.7077086869
377	0.7073607434
378	0.7071681287
379	0.7054222241
380	0.7038595259
381	0.7012542745
382	0.701058957
383	0.6987585062
384	0.697328797
385	0.6948809036
386	0.6928479262
387	0.6915719637
388	0.6892840133
389	0.688146191
390	0.6868843939
391	0.6847002957
392	0.6836017952
393	0.6818495465
394	0.6804405551
395	0.6802786929
396	0.6786938162
397	0.677326482
398	0.676279728
399	0.6740777205
400	0.6731287579
401	0.671308598
402	0.6697168965
403	0.6696516422
404	0.6695253646
405	0.6675967055
406	0.6675202518
407	0.6673571381
408	0.6664454501
409	0.6658646248
410	0.6657536156
411	0.6654541309
412	0.6653834063
413	0.6640427251
414	0.6623288751
415	0.6602336798
416	0.659027494
417	0.6581253361
418	0.6562898872
419	0.65451858
420	0.6541294784
421	0.6524343736
422	0.6514558474
423	0.6507147128
424	0.6482918126
425	0.646583161
426	0.6452457951
427	0.6451632553
428	0.6448910233
429	0.6440091728
430	0.6435089427
431	0.64255538
432	0.6425082675
433	0.6423473929
434	0.6421400787
435	0.640353681
436	0.6402711599
437	0.6401874653
438	0.6399310716
439	0.6393138144
440	0.6376722493
441	0.6375556399
442	0.6370778457
443	0.6361442004
444	0.6352565619
445	0.6333411722
446	0.6321497051
447	0.6314506002
448	0.631388714
449	0.6307593227
450	0.6290550238
451	0.6286612872
452	0.6286049742
453	0.6284178983
454	0.6274352077
455	0.626297113
456	0.623987391
457	0.6237354599
458	0.6235338509
459	0.6223362179
460	0.6205019609
461	0.6189456747
462	0.618749018
463	0.618001909
464	0.6166552037
465	0.6159504138
466	0.6151244927
467	0.6129457548
468	0.6128179591
469	0.6120394416
470	0.6119813028
471	0.6118088164
472	0.6108818255
473	0.6098107072
474	0.6080792893
475	0.6079707746
476	0.6068735265
477	0.6068174315
478	0.6056472107
479	0.603989113
480	0.6039289588
481	0.6020773506
482	0.6011594634
483	0.5995471242
484	0.5988502919
485	0.5988155209
486	0.5977573543
487	0.5962947368
488	0.5962065634
489	0.5954937924
490	0.5939914942
491	0.5933931412
492	0.5921346823
493	0.5919817642
494	0.5915078588
495	0.5909439581
496	0.5896938123
497	0.5890413302
498	0.5888049354
499	0.5878814296
500	0.5876851042
501	0.5859491498
502	0.5859249523
503	0.5848369538
504	0.584676522
505	0.5829304598
506	0.5818439952
507	0.5811475669
508	0.5800066952
509	0.5799885786
510	0.5783475719
511	0.5772376763
512	0.5754944295
513	0.5751343624
514	0.5751035778
515	0.574731418
516	0.5744963739
517	0.5741915509
518	0.5725384648
519	0.5718981671
520	0.5708823297
521	0.5700186058
522	0.5690410612
523	0.5685595106
524	0.5675284449
525	0.5660662938
526	0.565151371
527	0.5650852893
528	0.5634326268
529	0.5627464907
530	0.5624770866
531	0.5616882516
532	0.5612983517
533	0.5603646711
534	0.5601367918
535	0.5599668485
536	0.5594524399
537	0.5582235255
538	0.5580200391
539	0.5572300307
540	0.5571956719
541	0.5556698446
542	0.554771177
543	0.5536431578
544	0.5522214576
545	0.5518002392
546	0.551750011
547	0.5505601854
548	0.5490228408
549	0.5475144136
550	0.5469762792
551	0.5465523992
552	0.5465018689
553	0.5464170116
554	0.5462049633
555	0.5454722768
556	0.54453961
557	0.5440796898
558	0.543923777
559	0.5424702473
560	0.5424204959
561	0.5408949581
562	0.5390604168
563	0.538284476
564	0.5381291632
565	0.5381009679
566	0.5366770378
567	0.5359342667
568	0.5347087566
569	0.5340199934
570	0.5331613679
571	0.5326284516
572	0.5325788341
573	0.532544277
574	0.5311612735
575	0.5307007588
576	0.5298974793
577	0.5285740949
578	0.527304425
579	0.5260454625
580	0.5258882543
581	0.5243923923
582	0.524363797
583	0.5229914008
584	0.5219266384
585	0.5210375923
586	0.5210012128
587	0.519701246
588	0.51926183
589	0.5179891582
590	0.5179560604
591	0.5178002539
592	0.5177650744
593	0.5169844101
594	0.5162460305
595	0.5150045191
596	0.5147737099
597	0.5131506044
598	0.5121006827
599	0.5117625713
600	0.5103778496
601	0.5095416657
602	0.5088438468
603	0.5074031267
604	0.5063400827
605	0.5061564204
606	0.5046754754
607	0.5035809885
608	0.5023509908
609	0.5018967273
610	0.5004313719
611	0.4990866925
612	0.4990570993
613	0.4981673771
614	0.4975039523
615	0.4961210555
616	0.4951389008
617	0.4938375721
618	0.4930644556
619	0.4918550581
620	0.4918233458
621	0.4912443903
622	0.4909182928
623	0.4900965706
624	0.4898641152
625	0.4887205882
626	0.4881897893
627	0.4871924805
628	0.486109575
629	0.4860487797
630	0.4848607279
631	0.4848167779
632	0.484264387
633	0.4842456607
634	0.4832074185
635	0.4821273752
636	0.4814996411
637	0.4807055871
638	0.480097087
639	0.4795027415
640	0.4786404884
641	0.4783366461
642	0.47732019
643	0.4766046672
644	0.4752368004
645	0.4751908269
646	0.4751200994
647	0.475075765
648	0.4746662917
649	0.4742883951
650	0.4742609061
651	0.473312361
652	0.4722500639
653	0.4711052148
654	0.4704160439
655	0.4694976086
656	0.4687965649
657	0.4681086385
658	0.4668421708
659	0.466532477
660	0.4660004945
661	0.4652895292
662	0.4648302784
663	0.4638974956
664	0.4632200571
665	0.4627730712
666	0.4623015221
667	0.4615248077
668	0.460647571
669	0.4603065335
670	0.4596337465
671	0.4590019624
672	0.4583337147
673	0.4581238143
674	0.4576134157
675	0.4575585538
676	0.4562111019
677	0.4553200355
678	0.4552727566
679	0.4537420811
680	0.4527504708
681	0.4525565754
682	0.451549495
683	0.4514566787
684	0.4510038792
685	0.4503909981
686	0.4489350402
687	0.4480544843
688	0.447287063
689	0.4466369274
690	0.4459079448
691	0.4454843868
692	0.4452458174
693	0.4445624709
694	0.4437354902
695	0.4435603981
696	0.4428776303
697	0.4422938671
698	0.441832018
699	0.4406321757
700	0.4401066627
701	0.4397418654
702	0.4393741346
703	0.4389955063
704	0.4383572687
705	0.4381603718
706	0.4378832088
707	0.4368932907
708	0.4362435806
709	0.435840839
710	0.4357809163
711	0.4353551191
712	0.4345932114
713	0.4339322242
714	0.433168596
715	0.4327340045
716	0.4323818129
717	0.4309921553
718	0.4304427624
719	0.4299104081
720	0.4296488445
721	0.4292661233
722	0.4290185043
723	0.4288466973
724	0.4285883022
725	0.4282331963
726	0.4278002553
727	0.4272906333
728	0.4269490907
729	0.4263773122
730	0.4250468866
731	0.4247950274
732	0.4243979096
733	0.423784316
734	0.4233902997
735	0.4230118569
736	0.4227914621
737	0.4218570499
738	0.4214562757
739	0.4212125422
740	0.4207186915
741	0.4204485621
742	0.4203593966
743	0.419969675
744	0.4195693278
745	0.419389711
746	0.4191231808
747	0.4183770953
748	0.4177239437
749	0.4175256733
750	0.4171739159
751	0.4169787323
752	0.4167597195
753	0.4161794861
754	0.4155675264
755	0.4152356305
756	0.4151723572
757	0.4145944627
758	0.4142677552
759	0.4138983978
760	0.4136422442
761	0.4135323459
762	0.4130746168
763	0.4127141022
764	0.4123584843
765	0.411899597
766	0.411876612
767	0.4114432421
768	0.4101063475
769	0.4094913403
770	0.4093138809
771	0.4088004303
772	0.4075030879
773	0.4062484398
774	0.4062278222
775	0.4059418478
776	0.4059163475
777	0.4056094249
778	0.4055188732
779	0.4052286014
780	0.4049435964
781	0.4046674637
782	0.4043876352
783	0.4041633053
784	0.4037117069
785	0.4030520096
786	0.4020728638
787	0.4009968119
788	0.4009022417
789	0.4000237439
790	0.3996351091
791	0.3996038462
792	0.3995762797
793	0.3992467369
794	0.3989529824
795	0.3986149422
796	0.3983335658
797	0.3982325407
798	0.3980220364
799	0.3978610057
800	0.3975008237
801	0.3962301525
802	0.3958358278
803	0.3956506751
804	0.3946110402
805	0.3943613479
806	0.3940656556
807	0.3936232893
808	0.3935836739
809	0.3928935243
810	0.392283436
811	0.3920109544
812	0.3914282365
813	0.3906816305
814	0.3900370098
815	0.3892083575
816	0.3890666086
817	0.3884510425
818	0.3883983913
819	0.3876160948
820	0.3875967952
821	0.3872781764
822	0.3867569378
823	0.3866995545
824	0.3863902091
825	0.3854644311
826	0.3851644904
827	0.3842225615
828	0.3838139574
829	0.3831446826
830	0.38285693
831	0.3827961302
832	0.3818942244
833	0.3814216616
834	0.3813297319
835	0.3812250523
836	0.3809216019
837	0.3805484206
838	0.3801817705
839	0.3799307151
840	0.379639289
841	0.3791290387
842	0.3787920476
843	0.3779790432
844	0.3773955817
845	0.3771698835
846	0.3764610709
847	0.3757790127
848	0.3753474545
849	0.3751023782
850	0.3750522574
851	0.3745692735
852	0.3740488171
853	0.3735648254
854	0.3733395447
855	0.3731452125
856	0.3730969399
857	0.3729197888
858	0.3725986868
859	0.3722750835
860	0.3722112485
861	0.3719851311
862	0.3719691959
863	0.3716744396
864	0.3712523928
865	0.3704029951
866	0.370115393
867	0.3696392574
868	0.3693610935
869	0.3688743577
870	0.3684191531
871	0.3683522292
872	0.3682645425
873	0.3679732461
874	0.3677512359
875	0.3675669111
876	0.367525118
877	0.3670870788
878	0.3667897538
879	0.366523847
880	0.366219245
881	0.3655351203
882	0.3654962657
883	0.3650797427
884	0.3647225668
885	0.3644168999
886	0.3635025246
887	0.3632777555
888	0.3627500102
889	0.3618618462
890	0.3618133206
891	0.361321295
892	0.3606321395
893	0.3603467157
894	0.360274408
895	0.3599759109
896	0.3599579392
897	0.3597949595
898	0.3596235236
899	0.3590375082
900	0.3586157444
901	0.3580036758
902	0.3577744924
903	0.3572192731
904	0.3568105142
905	0.3563316164
906	0.3561161018
907	0.3556891919
908	0.3554880564
909	0.3551760408
910	0.3547823186
911	0.3545868014
912	0.3545725275
913	0.3539517198
914	0.3533343804
915	0.3531194354
916	0.3528798436
917	0.3524423654
918	0.3522578042
919	0.3521692527
920	0.3517334266
921	0.3512010534
922	0.3505718052
923	0.3504490869
924	0.3499706097
925	0.3497165773
926	0.3496953078
927	0.349305243
928	0.3482361278
929	0.3475653968
930	0.3467655815
931	0.3462533259
932	0.3461374597
933	0.3456364014
934	0.3452786187
935	0.3451875374
936	0.3445074496
937	0.3439536923
938	0.3429045937
939	0.3422803209
940	0.3414773884
941	0.3412631433
942	0.3407451021
943	0.340554257
944	0.3403027262
945	0.3395451741
946	0.3390647687
947	0.3388459912
948	0.3383618468
949	0.3380161898
950	0.3376052669
951	0.3372766119
952	0.3371448173
953	0.3369638926
954	0.3368414915
955	0.3368023266
956	0.3365288518
957	0.3361938622
958	0.3359906263
959	0.3352536618
960	0.3352297065
961	0.3351307118
962	0.334276451
963	0.3337163323
964	0.3332264723
965	0.3331974048
966	0.3324621242
967	0.3321092087
968	0.3312059413
969	0.3306990609
970	0.3304572997
971	0.3302709576
972	0.3300040007
973	0.3291959679
974	0.3291854399
975	0.3289181472
976	0.3288765008
977	0.3288572114
978	0.3284972503
979	0.3282008628
980	0.3275126426
981	0.3270905034
982	0.3263839893
983	0.3261999246
984	0.3261316602
985	0.3255348871
986	0.3252434951
987	0.3252094861
988	0.3248802868
989	0.3248618106
990	0.324313599
991	0.3239689182
992	0.3239497418
993	0.3234579585
994	0.3231732959
995	0.3228271706
996	0.3227881446
997	0.3225036017
998	0.3219833651
999	0.321368749
